biti;74061;145951;37957;Va-n
v;25816;51246;14936;Sl
in;16687;36222;11971;Cc
za;17393;35603;10659;Sa
na;14790;30307;9303;Sl
da;12745;27220;5922;Cs
se;12722;23987;7428;Px------y
z;9816;22683;6633;Si
pa;9358;18630;4764;Cc
ki;8610;18320;4984;Cs
ta;8243;17692;4089;Pd-msn
tudi;6150;13582;4065;Q
po;5815;12126;3030;Sl
on;6000;11500;3035;Pp3msn
evro;6629;10847;3775;Ncmsn
še;5034;9847;2047;Q
ne;5448;9753;1547;Q
kot;5359;9558;3234;Cs
o;2934;9195;1383;Sl
leto;4870;8875;3180;Ncnsa
družba;3022;7907;1288;Ncfsn
odstotek;6182;7404;4086;Ncmsn
banka;2792;7153;874;Ncfsn
do;3178;6842;1627;Sg
od;3380;6430;1832;Sg
pri;3090;6355;1815;Sl
naj;3041;6134;1123;Q
podjetje;2960;5664;1535;Ncnsn
nov;2038;5658;1892;Agpmsnn
slovenija;2430;5489;1547;Npfsn
iz;2490;5433;1620;Sg
že;3058;5410;1301;Q
imeti;2636;5321;1434;Vmpn
milijon;3500;5218;1994;Ncmsn
tako;2496;5141;1520;Rgp
uprava;1586;5131;456;Ncfsn
ves;2151;4820;1501;Pg-msa
lahko;1771;4650;1500;Rgp
drug;1926;4536;1242;Mlpmsnn
veliko;3079;4515;2139;Rgp
sicer;1813;4377;920;Rgp
država;1919;4345;975;Ncfsn
kar;3044;4341;1759;Rgp
velik;2436;4332;1579;Agpmsnn
kateri;1635;4130;955;Pq-msn
ali;1562;4106;828;Cc
med;2075;4104;1380;Si
delnica;1692;4036;1296;Ncfsn
svet;959;3878;597;Ncmsn
cena;2001;3772;802;Ncfsn
vlada;1336;3766;634;Ncfsn
predsednik;1106;3756;690;Ncmsn
morati;1378;3731;733;Vmpn
ko;2034;3648;885;Cs
ob;1689;3627;1115;Sl
svoj;1529;3502;1121;Px-msa
finanèen;1514;3281;520;Agpmsnn
slovenski;1417;3281;1210;Agpmsny
prvi;1408;3248;1215;Mlomsn
